epoch,segment,local_epoch,mode,loss,rmse,implicit_grad_seconds,n_adjoint_queries,used_cache,sto_cache_hits,sto_exact_queries,sto_cache_hit_rate,rho,rho_max_seen,kappa,eta,eta_max_seen,reason,grad_rate_norm,sto_kappa_recomputes,sto_warning_queries,midpoint_x,midpoint_y
16,0,16,exact,0.0002481887931935489,0.015754008797558446,0.03946832400106359,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008141915446686068,0,0,0.5024661888295893,-0.16605025673977167
17,0,17,exact,0.0002471761836204678,0.015721837793987947,0.045986621000338346,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008104020127764798,0,0,0.5024923525817625,-0.16590263836487956
18,0,18,exact,0.00024610996479168534,0.015687892299212323,0.05004435499722604,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008070516042832308,0,0,0.5024987477339954,-0.1657810872142283
19,0,19,exact,0.00024498789571225643,0.015652089180433915,0.039511703987955116,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.000804081321481725,0,0,0.502487112847549,-0.1656831084445117
20,0,20,exact,0.0002438102092128247,0.015614423114954479,0.028088913997635245,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0008014304470555633,0,0,0.5024595522748188,-0.16560566258908604
21,0,21,exact,0.00024257725453935564,0.015574891798640389,0.024872427005902864,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.000799059277838868,0,0,0.5024174699346499,-0.16554666250260255
22,0,22,exact,0.00024129115627147257,0.015533549377765295,0.03131675999611616,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.000796923111440387,0,0,0.5023625114462318,-0.16550366359115407
23,0,23,exact,0.00023995561059564352,0.01549050065671357,0.028026471001794562,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0007949793945938615,0,0,0.5022963253946587,-0.1654742019283744
24,0,24,exact,0.00023857280029915273,0.01544580202835556,0.042456184994080104,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0007931957947191226,0,0,0.5022200887300237,-0.1654564662497872
25,0,25,exact,0.00023714550479780883,0.015399529369360896,0.059469694999279454,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0007915447072630505,0,0,0.5021349171779097,-0.16544873021323275
26,0,26,exact,0.00023567672178614885,0.015351766080361857,0.027289894002024084,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0007899996985292616,0,0,0.5020418661138389,-0.1654493497876928
27,0,27,exact,0.00023416891053784639,0.015302578558460218,0.032330649002688006,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0007885338117441848,0,0,0.5019419876436482,-0.16545668698094285
28,0,28,exact,0.00023262505419552326,0.015252050819333224,0.03691338798671495,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0007871224267845578,0,0,0.5018362691206194,-0.1654692015165261
29,0,29,exact,0.00023104631691239774,0.015200207791750669,0.02965897900867276,20,0,0,20,0.0,nan,nan,nan,nan,nan,exact,0.0007857486806933129,0,0,0.5017252838653519,-0.16548593613957352
