epoch,segment,local_epoch,loss,rmse,implicit_grad_seconds,cumulative_backward_seconds,grad_rate_norm,n_adjoint_queries,sto_cache_hit_rate,sto_cache_hits,sto_exact_queries,sto_kappa_recomputes,rho_max_seen,kappa,eta_max_seen,reason
17,0,17,0.004778123926371336,0.06912397504752846,0.08466157899238169,1.2294365729758283,0.008178051107805506,100,0.0,0,100,0,nan,nan,nan,exact
18,0,18,0.004748848732560873,0.0689118910824603,0.13140392099739984,1.3608404939732281,0.008156328618644767,100,0.0,0,100,0,nan,nan,nan,exact
19,0,19,0.0047190384939312935,0.06869525816190877,0.08393537999654654,1.4447758739697747,0.008134914062156579,100,0.0,0,100,0,nan,nan,nan,exact
20,0,20,0.004688694141805172,0.06847403991152538,0.08695307400193997,1.5317289479717147,0.008113084605788,100,0.0,0,100,0,nan,nan,nan,exact
21,0,21,0.004657810553908348,0.06824815421612769,0.1070923110091826,1.6388212589808973,0.008090143094429554,100,0.0,0,100,0,nan,nan,nan,exact
22,0,22,0.00462637934833765,0.06801749295833867,0.15602740499889478,1.794848663979792,0.008065514622285051,100,0.0,0,100,0,nan,nan,nan,exact
23,0,23,0.0045943958684802055,0.06778197303472513,0.12194554199231789,1.91679420597211,0.00803886763914542,100,0.0,0,100,0,nan,nan,nan,exact
24,0,24,0.004561854060739279,0.06754149880435938,0.18838511400099378,2.1051793199731037,0.008010268738875673,100,0.0,0,100,0,nan,nan,nan,exact
25,0,25,0.0045287529937922955,0.06729601023680598,0.1667725870065624,2.271951906979666,0.007980086577593089,100,0.0,0,100,0,nan,nan,nan,exact
26,0,26,0.004495093133300543,0.06704545572446012,0.20569937700929586,2.477651283988962,0.007948884494095296,100,0.0,0,100,0,nan,nan,nan,exact
27,0,27,0.0044608693569898605,0.06678973990808663,0.29234592799912207,2.769997211988084,0.007917309943300947,100,0.0,0,100,0,nan,nan,nan,exact
28,0,28,0.004426079802215099,0.06652878927363025,0.2971644630015362,3.0671616749896202,0.007885844629297943,100,0.0,0,100,0,nan,nan,nan,exact
29,0,29,0.004390716552734375,0.0662624822409663,0.39985814099782147,3.4670198159874417,0.007854710152828017,100,0.0,0,100,0,nan,nan,nan,exact
30,0,30,0.0043547796085476875,0.06599075396256424,0.30576959998870734,3.772789415976149,0.00782389720765219,100,0.0,0,100,0,nan,nan,nan,exact
31,0,31,0.0043182699009776115,0.06571354427344192,0.18170256399025675,3.954491979966406,0.007793090164873513,100,0.0,0,100,0,nan,nan,nan,exact
32,0,32,0.004281187430024147,0.0654307835045871,0.13837974499620032,4.092871724962606,0.007761870936757407,100,0.0,0,100,0,nan,nan,nan,exact
33,0,33,0.004243534058332443,0.06514241366676893,0.17249156199977733,4.265363286962383,0.007729746702477813,100,0.0,0,100,0,nan,nan,nan,exact
34,0,34,0.0042053088545799255,0.06484835275147646,0.6914887229941087,4.956852009956492,0.0076962994277179324,100,0.0,0,100,0,nan,nan,nan,exact
35,0,35,0.004166513215750456,0.06454853380016044,0.19223850799608044,5.1490905179525726,0.007661287560134727,100,0.0,0,100,0,nan,nan,nan,exact
36,0,36,0.004127145279198885,0.06424286169839327,0.34499813300499227,5.494088650957565,0.007624753603878839,100,0.0,0,100,0,nan,nan,nan,exact
37,0,37,0.004087208304554224,0.06393127798311421,0.1882166619907366,5.682305312948301,0.007586931113985228,100,0.0,0,100,0,nan,nan,nan,exact
38,0,38,0.00404670275747776,0.06361369944813586,0.16948836600931827,5.85179367895762,0.007548198835148043,100,0.0,0,100,0,nan,nan,nan,exact
39,0,39,0.004005630500614643,0.06329005056574566,0.1650982919964008,6.0168919709540205,0.0075089305911321715,100,0.0,0,100,0,nan,nan,nan,exact
40,0,40,0.0039639901369810104,0.0629602266274591,0.19879048698931,6.2156824579433305,0.007469369685389957,100,0.0,0,100,0,nan,nan,nan,exact
