epoch,segment,local_epoch,mode,loss,rmse,implicit_grad_seconds,n_adjoint_queries,used_cache,sto_cache_hits,sto_exact_queries,sto_cache_hit_rate,rho,rho_max_seen,kappa,eta,eta_max_seen,reason,grad_rate_norm,sto_kappa_recomputes,sto_warning_queries,midpoint_x,midpoint_y
10,0,10,sto,0.004970526322722435,0.07050195970838283,0.06797353600268252,100,1,100,0,1.0,0.0015428742919884708,0.17521699814414507,1029.28552214689,1.5880581712363662,203.45157873344561,cache_hit,0.008251364623999492,0,0,0.4997365667273129,-0.16653253395716344
11,0,11,sto,0.004945435561239719,0.07032379086226595,0.06630429500364698,100,1,100,0,1.0,0.001719640301657859,0.19489921006426808,1029.28552214689,1.7700008657967445,226.41169946434027,cache_hit,0.008216638976162644,0,0,0.4997107506716891,-0.16601631198653977
12,0,12,sto,0.00491975387558341,0.07014095719038492,0.07092792500043288,100,1,100,0,1.0,0.0019078395147018425,0.21600457914591303,1029.28552214689,1.963711591062355,250.6756318518702,cache_hit,0.00818231988261611,0,0,0.4996287387698567,-0.16556688281276968
13,0,13,sto,0.004893453326076269,0.06995322241381215,0.07226892000471707,100,1,100,0,1.0,0.0021082498889548975,0.23843241841116453,1029.28552214689,2.1699910877690645,276.19619075708806,cache_hit,0.00814824658663801,0,0,0.4994988620003744,-0.1651724701291318
14,0,14,sto,0.004866576287895441,0.0697608506821372,0.06564289500238374,100,1,100,0,1.0,0.0023183751938722777,0.26184883041958223,1029.28552214689,2.3862700219572246,302.73760963482357,cache_hit,0.008113971293171988,0,0,0.49934230564770976,-0.16480271147113365
15,0,15,sto,0.004839205648750067,0.06956439929123277,0.06937109999125823,100,1,100,0,1.0,0.0025350654196191723,0.28583532827424596,1029.28552214689,2.6093061341092443,329.97358555058355,cache_hit,0.008078952266395597,0,0,0.4991833524576325,-0.1644224895906998
16,0,16,sto,0.004811449442058802,0.06936461231823329,0.06778467900585383,100,1,100,0,1.0,0.002754974985306951,0.309914497370144,1029.28552214689,2.835655866253285,357.5080788717624,cache_hit,0.008042558139132168,1,1,0.49904767413916873,-0.16399435900460652
17,0,17,sto,0.00478340731933713,0.06916218127949067,0.06743748900771607,100,1,100,0,1.0,0.0029748585543313342,0.33376094367446324,1029.28552214689,3.0619788404080692,385.059974733183,cache_hit,0.008004336034245798,7,7,0.49895195610724685,-0.1634935152959666
18,0,18,sto,0.004755130968987942,0.0689574576749168,0.07880185899557546,100,1,100,0,1.0,0.003194899298194936,0.35733195154847014,1029.28552214689,3.2884635923493066,412.58895764258773,cache_hit,0.007964190380909224,10,10,0.4988980660646233,-0.16291641821275946
19,0,19,sto,0.004726593382656574,0.06875022460077185,0.07576987599895801,100,1,100,0,1.0,0.003416750855662566,0.3809116001299044,1029.28552214689,3.516812188516477,440.33636751283535,cache_hit,0.007922446222169574,15,15,0.49887124446178793,-0.16228364764162678
20,0,20,sto,0.004697681870311499,0.0685396372204544,0.0826921650004806,100,1,100,0,1.0,0.003644332875834123,0.4049666557307226,1029.28552214689,3.751059066980002,468.6968253339258,cache_hit,0.007879659407901644,20,20,0.49884725954175085,-0.1616298000548285
21,0,21,sto,0.004668238572776318,0.06832450931237134,0.07540424999024253,100,1,100,0,1.0,0.0038820743651492326,0.42995803194812365,1029.28552214689,3.995762939945684,507.3096760411875,cache_hit,0.007836379867811362,30,30,0.49880228531356935,-0.16098927534749177
22,0,22,sto,0.0046381219290196896,0.06810375855281182,0.07092199200997129,100,1,100,0,1.0,0.004131920204181908,0.45617785953128415,1029.28552214689,4.252925644830659,488.4755104131316,cache_hit,0.0077929477287305175,31,31,0.4987217116052369,-0.16038329562815426
